"hump","arch one''s back"
"smallest","having or being distinguished by diminutive size; ""the least bittern"""
"lesser","smaller in size or amount or value; ""the lesser powers of Europe""; ""the lesser anteater"""
"micro","extremely small in scale or scope or capability"
"miniature","being on a very small scale; ""a miniature camera"""
"minuscule","very small; ""a minuscule kitchen""; ""a minuscule amount of rain fell"""
"miniscule","very small; ""a minuscule kitchen""; ""a minuscule amount of rain fell"""
"pocketable","small enough to be carried in a garment pocket; ""pocket-size paperbacks"""
"puny","(used especially of persons) of inferior size"
"runty","(used especially of persons) of inferior size"
"shrimpy","(used especially of persons) of inferior size"
"slender","small in quantity; ""slender wages""; ""a slim chance of winning""; ""a small surplus"""
"slim","small in quantity; ""slender wages""; ""a slim chance of winning""; ""a small surplus"""
"smaller","small or little relative to something else"
"littler","small or little relative to something else"
"smallish","rather small"
"undersize","smaller than normal for its kind"
"undersized","smaller than normal for its kind"
"greater","greater in size or importance or degree; ""for the greater good of the community""; ""the greater Antilles"""
"lesser","of less size or importance; ""the lesser anteater""; ""the lesser of two evils"""
"lawful","conformable to or allowed by law; ""lawful methods of dissent"""
"observant","(of individuals) adhering strictly to laws and rules and customs; ""law-abiding citizens""; ""observant of the speed limit"""
"unlawful","contrary to or prohibited by or defiant of law; ""unlawful measures""; ""unlawful money""; ""unlawful hunters"""
"lawless","disobedient to or defiant of law; ""lawless bands roaming the plains"""
"outlaw(a)","disobedient to or defiant of law; ""lawless bands roaming the plains"""
"open","lax in enforcing laws; ""an open town"""
"lawless","lax in enforcing laws; ""an open town"""
"wrongful","unlawfully violating the rights of others; ""wrongful death""; ""a wrongful diversion of trust income"""
"leaded","treated or mixed with lead; ""leaded gasoline""; ""leaded zinc"""
"antiknock","(of gasoline) containing tetraethyl lead; ""antiknock gasoline"""
"unleaded","not treated with lead; ""unleaded gasoline"""
"leadless","not treated with lead; ""unleaded gasoline"""
"nonleaded","(of gasoline) not containing tetraethyl lead; ""lead-free gasoline"""
"leaky","permitting leaks or leakage; ""a leaky roof""; ""a leaky defense system"""
"drafty","not airtight"
"draughty","not airtight"
"drippy","leaking in drops; ""a drippy faucet"""
"oozing","leaking out slowly"
"oozy","leaking out slowly"
"seeping","leaking out slowly"
"holey","allowing passage in and out; ""our unfenced and largely unpoliced border inevitably has been very porous"""
"porous","allowing passage in and out; ""our unfenced and largely unpoliced border inevitably has been very porous"""
"tight","of such close construction as to be impermeable; ""a tight roof""; ""warm in our tight little house"""
"airtight","not allowing air or gas to pass in or out"
"dripless","designed to prevent dripping; ""a dripless faucet""; ""dripless candles"""
"hermetic","completely sealed; completely airtight"
"rainproof","not permitting the passage of water"
"waterproof","not permitting the passage of water"
"waterproofed","not permitting the passage of water"
"sealed","closed so tightly as to be airtight or watertight"
"snug","well and tightly constructed; ""a snug house""; ""a snug little sailboat"""
"watertight","not allowing water to pass in or out"
"caulked","having cracks and crevices stopped up with a filler"
"chinked","having narrow opening filled"
"uncaulked","not caulked or sealed"
"leavened","made light by aerating, as with yeast or baking powder; often used as a combining form; ""leavened bread""; ""well-leavened""; ""yeast-leavened breads"""
"light","having a spongy or flaky texture; well-leavened; ""light pastries"""
"raised","leavened usually with yeast; ""raised bread"""
"sourdough(a)","leavened with a small amount of fermented dough; ""sourdough bread"""
"unleavened","made without leavening; ""unleavened bread is often simply flour mixed with water"""
"flat","not made with leavening; ""most flat breads are made from unleavened dough"""
"unraised","not made with leavening; ""most flat breads are made from unleavened dough"""
"leeward","on the side away from the wind; ""on the leeward side of the island"""
"downwind","towards the side away from the wind"
"lee(a)","towards the side away from the wind"
"windward","on the side exposed to the wind; ""the windward islands"""
"upwind","towards the side exposed to wind"
"weather(a)","towards the side exposed to wind"
"legal","established by or founded upon law or official or accepted rules"
"eligible","prohibited by official rules; ""an eligible pass receiver"""
"judicial","decreed by or proceeding from a court of justice; ""a judicial decision"""
"jural","of or relating to law or to legal rights and obligations"
"juristic","of or relating to law or to legal rights and obligations"
"lawful","authorized, sanctioned by, or in accordance with law; ""a legitimate government"""
"legitimate","authorized, sanctioned by, or in accordance with law; ""a legitimate government"""
"licit","authorized, sanctioned by, or in accordance with law; ""a legitimate government"""
"ratified","formally approved and invested with legal authority"
"sanctioned","formally approved and invested with legal authority"
"statutory","prescribed or authorized by or punishable under a statute; ""statutory restrictions""; ""a statutory age limit""; ""statutory crimes""; ""statutory rape"""
"illegal","prohibited by law or by official or accepted rules; ""an illegal chess move"""
"amerciable","of a crime or misdemeanor; punishable by a fine set by a judge"
"banned","forbidden by law"
"prohibited","forbidden by law"
"bootleg","distributed or sold illicitly; ""the black economy pays no taxes"""
"black","distributed or sold illicitly; ""the black economy pays no taxes"""
"contraband","distributed or sold illicitly; ""the black economy pays no taxes"""
"smuggled","distributed or sold illicitly; ""the black economy pays no taxes"""
"criminal","involving or being or having the nature of a crime; ""a criminal offense""; ""criminal abuse""; ""felonious intent"""
"felonious","involving or being or having the nature of a crime; ""a criminal offense""; ""criminal abuse""; ""felonious intent"""
"dirty","obtained illegally or by improper means; ""dirty money""; ""ill-gotten gains"""
"embezzled","taken for your own use in violation of a trust; ""the banker absconded with embezzled funds"""
"extrajudicial","beyond the usual course of legal proceedings; legally unwarranted; ""an extrajudicial penalty"""
"extralegal","not regulated or sanctioned by law; ""there were only extralegal recourses for their grievances"""
"nonlegal","not regulated or sanctioned by law; ""there were only extralegal recourses for their grievances"""
"hot","recently stolen or smuggled; ""hot merchandise""; ""a hot car"""
"illegitimate","contrary to or forbidden by law; ""an illegitimate seizure of power""; ""illicit trade""; ""an outlaw strike""; ""unlawful measures"""
"illicit","contrary to or forbidden by law; ""an illegitimate seizure of power""; ""illicit trade""; ""an outlaw strike""; ""unlawful measures"""
"outlaw(a)","contrary to or forbidden by law; ""an illegitimate seizure of power""; ""illicit trade""; ""an outlaw strike""; ""unlawful measures"""
"outlawed","contrary to or forbidden by law; ""an illegitimate seizure of power""; ""illicit trade""; ""an outlaw strike""; ""unlawful measures"""
"unlawful","contrary to or forbidden by law; ""an illegitimate seizure of power""; ""illicit trade""; ""an outlaw strike""; ""unlawful measures"""
"ineligible","prohibited by official rules; ""an ineligible pass receiver"""
"misbranded","branded or labeled falsely and in violation of statutory requirements; ""confiscated the misbranded drugs"""
"mislabeled","branded or labeled falsely and in violation of statutory requirements; ""confiscated the misbranded drugs"""
"penal","subject to punishment by law; ""a penal offense"""
"punishable","subject to punishment by law; ""a penal offense"""
"unratified","lacking legal authority; ""the unratified Equal Right Amendment"""
"legible","(of handwriting, print, etc.) able to be read; ""legible handwriting"""
"clean","(of a manuscript) having few alterations or corrections; ""fair copy""; ""a clean manuscript"""
"fair","(of a manuscript) having few alterations or corrections; ""fair copy""; ""a clean manuscript"""
"clear","easily deciphered"
"decipherable","easily deciphered"
"readable","easily deciphered"
"illegible","(of handwriting, print, etc.) not legible; ""illegible handwriting"""
"dirty","(of a manuscript) defaced with changes; ""foul (or dirty) copy"""
"foul","(of a manuscript) defaced with changes; ""foul (or dirty) copy"""
"unclear","not easily deciphered; ""indecipherable handwriting"""
"unreadable","not easily deciphered; ""indecipherable handwriting"""
"deciphered","converted from cryptic to intelligible language"
"undeciphered","not deciphered; ""Linear A is still undeciphered"""
"biological","of parents and children; related by blood; ""biological child"""
"begotten","(of offspring) generated by procreation; ""naturally begotten child"""
"natural","related by blood; not adopted; ""natural parent"""
"adoptive","of parents and children; related by adoption; ""adoptive parents"""
"adopted","having been taken into a specific relationship; ""an adopted child"""
